Objekt,Navn,Type,Formel,UoM,Målernivå
VIS-Måler,Elkjel 7350049088384955,Elkjel,707057500068907038,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 7350049088384542,Fastkraft,707057500068902293,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Tyholt aktivitets- og sansesenter,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 265943868,Fastkraft,707057500068614707,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Solbakken skole,,,,
VIS-Måler,COP varmepumpe,Virkningsgrad,EID_942110464_00045/EID_942110464_00044,Ikke valgt,Annen måler
VIS-Måler,Produsert energi varmepumpe,Fjernvarme,EID_942110464_00045,kWh,Annen måler
VIS-Måler,Tilført energi varmepumpe,Fastkraft,EID_942110464_00044,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 268015745,Fastkraft,707057500068614202,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Breidablikk utbyggingsområde- bygg D,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 265943770,Fastkraft,707057500068613373,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Øya Barnehage,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_13_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 68246396,Fjernvarme,ESAVE_283206-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 7350049085519299,Fastkraft,707057500068917730,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Trøndelag brann- og redningstjeneste IKS (Sluppen),,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 67708665,Fjernvarme,ESAVE_280234-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 7350049088284620,Fastkraft,707057500068898763,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Lade Idrettsanlegg,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fjernvarme 102601,Fjernvarme,ESAVE_102601-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,6970631409915866,Fastkraft,707057500068260980,kWh,Forbruksmåler
VIS-Måler,6970631402145154,Fastkraft,707057500068260973,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Ranheimsletta barnehage,,,,
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler, 19615447.1.m Fra skole og til elkjel bhg,Elkjel,ESAVE_942110464_19615447.1.m_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 7350049083243141,Fastkraft,707057500068819607,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Granåsen barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 7350049088375359,Fastkraft,707057500068918645,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Breidablikk-ny (nedre)-barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 68879225,Fjernvarme,ESAVE_240621-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 265934159,Fastkraft,707057500068796502,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Kristiansten Barnehage,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_8_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 7350049085520189,Fastkraft,707057500068894031,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Lyngmyra barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fastkraft 68542192,Fastkraft,707057500068542192,kWh,Forbruksmåler
VIS-Måler,Fastkraft 68542123,Fastkraft,707057500068542123,kWh,Forbruksmåler
VIS-Måler,Fastkraft 68542185,Fastkraft,707057500068542185,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Leistad (Midlertidig))Barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 40439292,Fastkraft,707057500068731534,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Øya stadion,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fastkraft 68683628,Fastkraft,707057500068683628,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Viktor Baumannsvei-37(Svalsberget bhg),,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fastkraft 68742110 UTGÅTT,Fastkraft,707057500068742110,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Nidarvoll bskole - Paviljong,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft ny paviljong,Fastkraft,707057500069011062,kWh,Forbruksmåler
VIS-Måler,Fastkraft 68925667,Fastkraft,707057500068925667,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Nilsbyen Friluftsbarnehage(tidlgHaukvannet bhg),,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 67866121,Fastkraft,707057500067866121,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Brundalen barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 68136179,Fastkraft,707057500068136179,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Øvre Stubban barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 67987208 UTGÅTT,Fastkraft,707057500067987208,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Sverresborg Friluftsbarnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 67794271 UTGÅTT,Fastkraft,707057500067794271,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Flatåsen barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 68610723 UTGÅTT,Fastkraft,707057500068610723,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Åsveihallen,,,,
VIS-Måler,Varmemåler Åsveihallen (oMUC),Fjernvarme,EID_942110464_00071,kWh,Forbruksmåler
VIS-Måler,Fastkraft Vent XQ10 (oMUC),Fastkraft,EID_942110464_00077,kWh,Forbruksmåler
VIS-Måler,Fastkraft belysning 433.25 (oMUC),Fastkraft,EID_942110464_00061,kWh,Forbruksmåler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Byneshallen,,,,
VIS-Måler,Fjernvarme,Fjernvarme,EID_942110464_00005,kWh,Forbruksmåler
VIS-Måler,FV varmt tappevann,Fjernvarme,EID_942110464_00002,kWh,Annen måler
VIS-Måler,FV Dusj,Fjernvarme,EID_942110464_00001,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Spongdal Byneshall- fastkraft- 68891160 - timesmål,Fastkraft,707057500068891160,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Tirilltoppen barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Tirilltoppen bhg - fastkraft - 68899968 - timesmål,Fastkraft,707057500068899968,kWh,Forbruksmåler
VIS-Måler,Tirilltoppen bhg - fastkraft - 68899975 - timesmål,Fastkraft,707057500068899975,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Ilsvika barnehage,,,,
VIS-Måler,Fjernvarme,Fjernvarme,EID_942110464_00046,kWh,Forbruksmåler
VIS-Måler,Vann,Vann,ESAVE_942110464_4_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fastkraft 268015284 - Tkorgkode 042136,Fastkraft,707057500068878284,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Hårstad barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Hårstad bhg-fastkraft-68742172-timesmålt,Fastkraft,707057500068742172,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Aastahagen barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Graddager,Graddager,Eklima_68860_GD17,grdg,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fjernvarme 68664468,Fjernvarme,ESAVE_280552-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Aastahagen Barnehage - fastkraft - 68895090 - time,Fastkraft,707057500068895090,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Trøndelag brann- og redningstjeneste IKS - Sandmoen brannstasjon,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Ikke valgt,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fjernvarme 66822826,Fjernvarme,ESAVE_279926-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Sandmoen brannst .- fastkraft - 68837021 - timesmå,Fastkraft,707057500068837021,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Rådhuset,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Rådhuset-fastkraft-68615261-timesmålt,Fastkraft,707057500068615261,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Ranheim brann og ambulansestasjon,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 279954,Fjernvarme,ESAVE_279954-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 68870271,Fastkraft,707057500068870271,kWh,Forbruksmåler
VIS-Måler,Fastkraft Brann 68855421 UTGÅTT,Fastkraft,707057500068855421,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Produksjonskjøkkenet,,,,
VIS-Måler,Fjernvarme 67221935,Fjernvarme,ESAVE_280228-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Produksjonskjøkkenet-fastkraft-68621392-timesmålt,Fastkraft,707057500068621392,kWh,Forbruksmåler
VIS-Måler,Produksjonskjøkken-fastkraft(varmepumpe)-68630158-,Fastkraft,707057500068630158,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Trikkestallen Skatepark,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 65864351,Fjernvarme,ESAVE_101101-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 228993002,Fastkraft,707057500068231621,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - LKV Lademoen Kunstnerverksted,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fjernvarme 68411418,Fjernvarme,ESAVE_49960-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 6970631400157487,Fastkraft,707057500068807222,kWh,Annen måler
VIS-Måler,LKV(Mellomv 5)-fastkraft-68614806-timesmålt,Fastkraft,707057500068614806,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Leangen gård,,,,
VIS-Måler,Graddager,Graddager,Eklima_68860_GD17,grdg,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Kurs og konfer bygg C 68262298,Fastkraft,707057500068262298,kWh,Forbruksmåler
VIS-Måler,Hovedbygg A 68262267,Fastkraft,707057500068262267,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Kultursenteret ISAK,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 65430488,Fjernvarme,ESAVE_86806-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fjernvarme 65448010,Fjernvarme,ESAVE_86803-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,ISAK adm.fastkraft-kultursenter-68615056-timesmålt,Fastkraft,707057500068615056,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Lundamo Auto AS,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fastkraft 265943003,Fastkraft,707057500068610822,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Hornemansgården (PFO) Eldres Hus,,,,
VIS-Måler,Graddager,Graddager,Eklima_68860_GD17,grdg,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler, Fastkraft C 68581870 UTGÅTT,Fastkraft,707057500068581870,kWh,Forbruksmåler
VIS-Måler,Fastkraft A,Fastkraft,707057500068581887,kWh,Forbruksmåler
VIS-Måler,Hornemannsg vk fotgj.felt-fastkraft-68612130-times,Fastkraft,707057500068612130,kWh,Forbruksmåler
VIS-Måler,Hornemannsg vk fortau-fastkraft-68612123-timesmålt,Fastkraft,707057500068612123,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Trondheim folkebibliotek Hovedbiblioteket,,,,
VIS-Måler,Graddager,Graddager,Eklima_68860_GD17,grdg,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fjernvarme 67034811,Fjernvarme,ESAVE_87886-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 265943849,Fastkraft,707057500068615582,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Ranheimsvegen 149,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66298146,Fjernvarme,ESAVE_250423-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Bolig-Ranheimsvegen 149--68807574-fastkraft-timesm,Fastkraft,707057500068807574,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Åsheimhallen,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66362757,Fjernvarme,ESAVE_129309-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Åsheimhallen-fastkraft-68690626-timesmålt,Fastkraft,707057500068690626,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Vikåsenhallen,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_37_ID,m3,Annen måler
VIS-Måler,Nærvarme gammel,Fjernvarme,ESAVE_942110464_78188540.8.m_EAN,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Nærvarme,Varme,EID_942110464_00088,kWh,Forbruksmåler
VIS-Måler,Vikåsen idrettshall-fastkraft-68670130 -time,Fastkraft,707057500068670130,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Rostenhallen,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66828040,Fjernvarme,ESAVE_67067-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Rostenhallen-fastkraft-68612789-timesmålt,Fastkraft,707057500068612789,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Rosenborghallen,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 68666415,Fjernvarme,ESAVE_238742-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Rosenborg Idrettshall-fastkraft-68794997-timesmålt,Fastkraft,707057500068794997,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Ranheim Friidrettshall,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66156229,Fjernvarme,ESAVE_248080-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Ranheim Friidrettshall-fastkraft-68802678-timesmål,Fastkraft,707057500068802678,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Munkvollhallen,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 65864357,Fjernvarme,ESAVE_230801-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Munkvollhallen-Fastkraft-68786671-Timesmålt,Fastkraft,707057500068786671,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Leangen Garderobebygg,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Leangen Garderobebygg-fastkraft-68156429-timesmålt,Fastkraft,707057500068156429,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Husebybadet,,,,
VIS-Måler,Overskuddsvarme fra Heimdal vgs.,Fjernvarme,ESAVE_942110464_8447_E08_Energi_0_3_1030_EAN,kWh,Forbruksmåler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 68443266,Fjernvarme,ESAVE_283768-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Eklima_68860_GD17,Graddager,Eklima_68860_GD17,grdg,Annen måler
VIS-Måler,Husebybad-fastkraft-68939633-timesmålt,Fastkraft,707057500068939633,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Dalgård Idrettsanlegg,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Dalgård Idrettsanlegg-fastkraft-67860464-timesmålt,Fastkraft,707057500067860464,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Dalgård ishall,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 65667341,Fjernvarme,ESAVE_223568-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Dalgård maskinrom-fastk kjøl og smelteg-68846603,Fastkraft,707057500068846603,kWh,Forbruksmåler
VIS-Måler,Dalgård Ishall-fastkraft-Maskinrom-68564477-timesm,Fastkraft,707057500068564477,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Øya helsehus,,,,
VIS-Måler,Undervisningsbygg uten undermålere,Fastkraft,707057500068771257-ESAVE_942110464_27619590.1.m_EAN-ESAVE_942110464_27619591.1.m_EAN-ESAVE_942110464_27619592.1.m_EAN-ESAVE_942110464_27619593.1.m_EAN-ESAVE_942110464_27632849.1.m_EAN,kWh,Annen måler
VIS-Måler,FK Q132 Snøsmelting 27619592.1,Fastkraft,ESAVE_942110464_27619592.1.m_EAN,kWh,Annen måler
VIS-Måler,FK Q123 Kjølemaskin OA02 171Kw - 27619593.1,Fastkraft,ESAVE_942110464_27619593.1.m_EAN,kWh,Annen måler
VIS-Måler,FK Q122 Kjølemaskin OA01 434Kw 27619591.1,Fastkraft,ESAVE_942110464_27619591.1.m_EAN,kWh,Annen måler
VIS-Måler,FK Q114 Kontorbygg 433 - 27619590.1,Fastkraft,ESAVE_942110464_27619590.1.m_EAN,kWh,Annen måler
VIS-Måler,FK Q130 Kontorbygg teknisk 434 - 27632849.1,Fastkraft,ESAVE_942110464_27632849.1.m_EAN,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 198823 65562166 kontorbygg,Fjernvarme,ESAVE_198823-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fjernvarme 198824 68315196 Undervisningsbygg,Fjernvarme,ESAVE_198824-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Øya sykehjem-fastkraft-undervis.bygg-68771257-time,Fastkraft,707057500068771257,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Østbyen helsehus - Leistad,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 65864362,Fjernvarme,ESAVE_249000-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Leistad helsehus-fastkraft-68610792-timesmålt,Fastkraft,707057500068610792,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Valentinlyst helse og velferdssenter,,,,
VIS-Måler,Vannmåler,Vann,ESAVE_942110464_54_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66364872,Fjernvarme,ESAVE_134723-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Valentinlyst helse og velferd senter-Fastkraft-68685356-Timesmå,Fastkraft,707057500068685356,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Tiller helse og velferdssenter,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 65786875,Fjernvarme,ESAVE_114058-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fjernvarme 65864364,Fjernvarme,ESAVE_114060-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fjernvarme 65708649,Fjernvarme,ESAVE_114057-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Tiller helse og velferd (sykehjem)-fastkraft-68661985-timesmålt,Fastkraft,707057500068661985,kWh,Forbruksmåler
VIS-Måler,Tiller helse og velferd (bofellesskap)-fastkraft-68661961-times,Fastkraft,707057500068661961,kWh,Forbruksmåler
VIS-Måler,Tiller helse og velferd (aktivitetsbygg)-fastkraft-68661978-tim,Fastkraft,707057500068661978,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Tempe helse og velferdssenter,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 65852528,Fjernvarme,ESAVE_106617-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Tempe helse og velferd -fastkraft-68641505-timesmålt,Fastkraft,707057500068641505,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Søbstad Helsehus,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 67225661,Fjernvarme,ESAVE_178320-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Søbstad helsehus-fastkraft-68614813-timesmålt,Fastkraft,707057500068614813,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Ranheim helse og velferdssenter,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_35_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
